政府工作报告|||Rapport d'activité du gouvernement
今年发展主要预期目标是：国内生产总值增长6.5%左右；居民消费价格涨幅3%左右；城镇新增就业1100万人以上，城镇调查失业率5.5%以内，城镇登记失业率4.5%以内；居民收入增长和经济增长基本同步；进出口稳中向好，国际收支基本平衡；单位国内生产总值能耗下降3%以上，主要污染物排放量继续下降；供给侧结构性改革取得实质性进展，宏观杠杆率保持基本稳定，各类风险有序有效防控。|||Les objectifs essentiels prévus pour 2018 sont les suivants : une croissance d'environ 6,5 % du PIB, et une hausse d'environ 3 % des prix à la consommation des ménages ; la création de plus de 11 millions d'emplois dans les agglomérations urbaines, où le taux de chômage au sens du recensement de la population et le taux de chômage enregistré seront maintenus inférieurs à 5,5 et 4,5 % respectivement ; une synchronisation de l'augmentation des revenus des habitants et de la croissance économique ; un import-export stabilisé marqué par une tendance à la hausse, et un équilibre global de la balance des paiements internationaux ; une baisse de plus de 3 % de la consommation d'énergie par unité de PIB, et une nouvelle diminution des émissions des principaux polluants ; des progrès substantiels dans la réforme structurelle du côté de l'offre, un ratio de levier macroéconomique stabilisé dans son ensemble, et une prévention et un contrôle ordonnés et efficaces des risques de toute sorte.
上述主要预期目标，考虑了决胜全面建成小康社会需要，符合我国经济已由高速增长阶段转向高质量发展阶段实际。|||La définition des objectifs susmentionnés tient compte des conditions nécessaires à la victoire décisive de l'édification intégrale de la société de moyenne aisance, et correspond au fait que notre économie a réalisé le passage d'une croissance rapide à un développement centré sur la qualité.
从经济基本面和就业吸纳能力看，6.5%左右的增速可以实现比较充分的就业。|||Compte tenu des données fondamentales de notre économie et des capacités qui sont les nôtres dans la création d'emplois, nous estimons qu'un taux de croissance d'environ 6,5 % devrait nous permettre de frôler le plein emploi.
城镇调查失业率涵盖农民工等城镇常住人口，今年首次把这一指标作为预期目标，以更全面反映就业状况，更好体现共享发展要求。|||Le taux de chômage dans les villes au sens du recensement de la population, qui englobe dans son calcul les résidents permanents en ville comme les travailleurs migrants d'origine rurale, a été incorporé pour la première fois dans les objectifs prévus. Cette innovation permettra de donner une idée plus précise de la situation de l'emploi et de répondre davantage à l'impératif du développement partagé.
今年要继续创新和完善宏观调控，把握好宏观调控的度，保持宏观政策连续性稳定性，加强财政、货币、产业、区域等政策协调配合。|||Cette année, nous continuerons à renouveler et à améliorer le contrôle macroéconomique, en l'employant à bon escient, en maintenant la continuité et la stabilité de ses politiques, et en renforçant la coordination des politiques économiques d'ordre budgétaire, monétaire, sectoriel et régional.
积极的财政政策取向不变，要聚力增效。|||Sans modifier nos orientations, nous nous efforcerons de renforcer l'efficacité de notre politique budgétaire de relance.
今年赤字率拟按2.6%安排，比去年预算低0.4个百分点；财政赤字2.38万亿元，其中中央财政赤字1.55万亿元，地方财政赤字8300亿元。|||En 2018, le taux du déficit public devrait s'établir à 2,6 %, soit une diminution de 0,4 point de pourcentage par rapport au budget de l'exercice 2017. Sur un déficit total de 2 380 milliards de yuans, le déficit des finances centrales se montera à 1 550 milliards de yuans et celui des instances locales, à 830 milliards de yuans.
调低赤字率，主要是我国经济稳中向好、财政增收有基础，也为宏观调控留下更多政策空间。|||La réduction du taux du déficit public est basée sur la stabilisation de la situation économique avec une tendance à la hausse et l'augmentation de nos recettes budgétaires. Elle devrait nous ménager une marge de manœuvre plus grande pour exercer le macrocontrôle.
今年全国财政支出21万亿元，支出规模进一步加大。|||Cette année, les dépenses budgétaires devraient atteindre 21 000 milliards de yuans, somme plus élevée que l'année précédente.
中央对地方一般性转移支付增长10.9%，增强地方特别是中西部地区财力。|||L'ampleur des transferts de paiements généraux aux instances locales par les instances centrales augmentera de 10,9 % afin d'accroître les ressources financières des autorités locales, en particulier celles des régions du Centre et de l'Ouest.
优化财政支出结构，提高财政支出的公共性、普惠性，加大对三大攻坚战的支持，更多向创新驱动、“三农”、民生等领域倾斜。|||Par l'optimisation de leur structure, nous renforcerons le caractère public et inclusif des dépenses budgétaires, et augmenterons l'aide aux trois grandes batailles, en privilégiant les domaines de l'innovation, du sannong [paysans, agriculture et régions rurales] et du bien-être de la population.
当前财政状况出现好转，各级政府仍要坚持过紧日子，执守简朴、力戒浮华，严控一般性支出，把宝贵的资金更多用于为发展增添后劲、为民生雪中送炭。|||Malgré l'amélioration de la situation budgétaire, les administrations à tous les échelons sont tenues de pratiquer l'austérité, de persévérer dans la frugalité et le refus du luxe, en limitant strictement leurs dépenses ordinaires : nos moyens précieux doivent être utilisés d'abord pour augmenter les forces de réserve de notre développement et secourir nos concitoyens dans la détresse.
稳健的货币政策保持中性，要松紧适度。|||La politique monétaire prudente doit s'appliquer avec modération, et il faudra concilier adéquatement rigueur et souplesse.
管好货币供给总闸门，保持广义货币M2、信贷和社会融资规模合理增长，维护流动性合理稳定，提高直接融资特别是股权融资比重。|||En contrôlant l'offre de monnaie, nous chercherons à maintenir l'augmentation dans des limites raisonnables de la masse monétaire M2, du crédit bancaire et de l'agrégat de financement de l'économie réelle hors autorités publiques, à assurer la régularité des liquidités, et à accroître le poids du financement direct et surtout du financement par actions.
疏通货币政策传导渠道，用好差别化准备金、差异化信贷等政策，引导资金更多投向小微企业、“三农”和贫困地区，更好服务实体经济。|||Nous fluidifierons aussi les mécanismes de transmission de la politique monétaire, ferons jouer les politiques concernant notamment les réserves obligatoires à taux différencié et le crédit différencié, et orienterons davantage de capitaux vers les PEMIC, le sannong et les régions pauvres, et servirons mieux l'économie réelle.
做好今年工作，要认真贯彻习近平新时代中国特色社会主义经济思想，坚持稳中求进工作总基调，把稳和进作为一个整体来把握，注重以下几点。|||Pour mener à bien les activités gouvernementales en 2018, nous devons appliquer sérieusement la pensée de Xi Jinping sur l'économie socialiste à la chinoise de la nouvelle ère et poursuivre le principe général dit "aller de l'avant à pas assurés".
一是大力推动高质量发展。|||En recherchant à la fois la stabilité et le progrès, nous porterons notre attention sur les aspects suivants : primo, promouvoir énergiquement le développement centré sur la qualité.
发展是解决我国一切问题的基础和关键。|||Le développement est la base et la clé pour résoudre tous nos problèmes.
