政府工作报告|||RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
我国有上亿市场主体，而且还在不断增加。|||On compte en Chine plus de 100 millions d'acteurs du marché, et leurs rangs ne cessent de grossir.
把市场主体的活跃度保持住、提上去，是促进经济平稳增长的关键所在。|||Conserver et élever le dynamisme des agents économiques est une mesure essentielle pour favoriser la croissance régulière de l'économie.
要深化“放管服”改革，降低制度性交易成本，下硬功夫打造好发展软环境。|||Nous devons approfondir la réforme visant à promouvoir la décentralisation et la simplification administratives, à concilier le contrôle et le laissez-faire et à améliorer la prestation de services ; diminuer les charges réglementaires et administratives ; et faire un gros effort pour mettre en place un environnement favorable au développement.
以简审批优服务便利投资兴业。|||Simplifier les formalités d'approbation et optimiser les services, afin de redynamiser les acteurs du marché et faciliter leurs investissements.
市场配置资源是最有效率的形式。|||L'allocation des ressources par le marché est le moyen le plus efficace.
要进一步缩减市场准入负面清单，推动“非禁即入”普遍落实。|||La liste négative d'accès au marché sera réduite, et l'application du principe « tout ce qui n'est pas interdit est permis » sera généralisée dans tout le pays.
政府要坚决把不该管的事项交给市场，最大限度减少对资源的直接配置，审批事项应减尽减，确需审批的要简化流程和环节，让企业多用时间跑市场、少费功夫跑审批。|||Les pouvoirs publics doivent transférer au marché les fonctions qui ne relèvent pas de leur ressort et réduire au maximum l'allocation administrative des ressources. Les catégories d'approbation seront réduites le plus possible. Là où une approbation reste nécessaire, on simplifiera la procédure. Ne prenons pas aux entreprises le temps qu'elles doivent à leurs affaires en leur imposant des tracasseries administratives.
今年，要对所有涉企经营许可事项实行“证照分离”改革，使企业更便捷拿到营业执照并尽快正常运营，坚决克服“准入不准营”的现象；在全国推开工程建设项目审批制度改革，使全流程审批时间大幅缩短。|||Cette année, concernant les autorisations auxquelles sont soumises les entreprises, nous appliquerons la réforme visant à séparer la délivrance de la licence commerciale de l'octroi du permis d'exploitation, de sorte que les entreprises puissent obtenir avec plus de facilité la licence commerciale et commencer leurs activités le plus tôt possible, en évitant la situation où la licence commerciale ne suffit pas pour démarrer. La réforme du système d'approbation des projets de construction sera étendue à l'échelle nationale, et le délai de toute la procédure sera raccourci sensiblement.
继续压缩专利审查和商标注册时间。|||Nous continuerons à réduire le délai de dépôt de marques et de vérification des brevets.
推行网上审批和服务，抓紧建成全国一体化在线政务服务平台，加快实现一网通办、异地可办，使更多事项不见面办理，确需到现场办的要“一窗受理、限时办结”“最多跑一次”。|||Nous ferons progresser les procédures d'approbation et la prestation de services sur la Toile ; nous y établirons au plus vite une plateforme nationale intégrée des services administratifs ; nous accélérerons la réalisation de la pratique « un seul site Web », de manière à délocaliser l'accomplissement des formalités. Plus besoin de se présenter en personne à un guichet. Si la présence physique est vraiment indispensable, nous ferons en sorte que les formalités puissent être accomplies à un seul guichet et dans un délai fixé. Un seul déplacement fera l'affaire.
持续开展“减证便民”改革行动，不能让繁琐证明来回折腾企业和群众。|||Il faut continuer la réforme visant à « réduire le nombre de certificats dans l'intérêt du peuple ». Il ne faut pas tourmenter les honnêtes citoyens et les entreprises en les obligeant à fournir une montagne de papiers.
建立政务服务“好差评”制度，服务绩效由企业和群众来评判。|||Un système d'évaluation des services administratifs sera créé : les performances des services seront évaluées par les entreprises et par les masses populaires.
政府部门做好服务是本分，服务不好是失职。|||La vocation de l'Administration est de servir ; ne pas bien servir, c'est échouer dans sa mission.
以公正监管促进公平竞争。|||Favoriser la concurrence loyale par des contrôles équitables.
公平竞争是市场经济的核心，公正监管是公平竞争的保障。|||Le contrôle équitable est une garantie pour la concurrence loyale ; cette dernière est le cœur de l'économie de marché.
改革完善公平竞争审查和公正监管制度，加快清理妨碍统一市场和公平竞争的各种规定和做法。|||Nous perfectionnerons par la réforme le système de contrôles équitables et de supervision destiné à favoriser une concurrence loyale, et procéderons plus rapidement à l'examen et à l'abrogation de tous les règlements et pratiques préjudiciables au marché unifié et à la concurrence loyale.
政简易从。|||Les formalités simplifiées sont plus facilement suivies.
规则越简约透明，监管越有力有效。|||Plus les règles sont simples et claires, plus les contrôles seront efficaces et vigoureux.
国家层面重在制定统一的监管规则和标准，地方政府要把主要力量放在公正监管上。|||L'État doit établir des règles et des normes de contrôle unifiées, et les autorités locales doivent concentrer leur attention sur les contrôles équitables.
推进“双随机、一公开”跨部门联合监管，推行信用监管和“互联网+监管”改革，优化环保、消防、税务、市场监管等执法方式，对违法者依法严惩、对守法者无事不扰。|||Nous poursuivrons le contrôle collectif intersectoriel : sur échantillon, basé sur le tirage au sort de l'entreprise et du contrôleur, et sur publication immédiate des résultats de l'examen et du traitement, et généraliserons la réforme du contrôle de la crédibilité et de la formule « Internet + Supervision ». Les méthodes d'application de la loi seront optimisées dans les domaines de la protection de l'environnement, de la prévention des incendies, de la fiscalité et du contrôle du marché. Les contrevenants seront punis sévèrement et ceux qui respectent la loi, laissés en paix.
